problem,runs,best,median,improvement_best,improvement_median,above_5pct_rate
bp_online,192,0.00674,0.036875,0.8307,0.0735,0.568
cvrp_construct,207,12.35639,12.85885,0.086,0.0488,0.449
tsp_construct,206,6.00393,6.212865,0.0848,0.0529,0.558
