arm,inst,density,t,J_SA,J_EOH,delta_J,ratio,class
rag,RC101,d75,0.9,435.4846,154.5704,-280.9142,0.3549,improved
rag,RC101,d75,1.0,549.4846,840.3135,290.8289,1.5293,worse
rag,RC102,d25,0.6,425.0776,1000.1379,575.0603,2.3528,worse
rag,RC102,d25,0.7,425.0776,1000.1379,575.0603,2.3528,worse
rag,RC102,d25,0.8,390.1164,296.867,-93.2494,0.761,improved
rag,RC102,d25,0.9,637.687,1000.1379,362.4508,1.5684,worse
rag,RC102,d25,1.0,642.687,499.7041,-142.983,0.7775,improved
rag,RC102,d50,0.6,377.9014,756.3313,378.4299,2.0014,worse
rag,RC102,d50,0.7,384.9014,756.3313,371.4299,1.965,worse
rag,RC102,d50,0.8,384.9014,143.6754,-241.2259,0.3733,improved
rag,RC102,d50,0.9,540.6982,180.4963,-360.2019,0.3338,improved
rag,RC102,d50,1.0,551.8108,788.9698,237.1591,1.4298,worse
rag,RC102,d75,0.6,302.0423,530.8457,228.8034,1.7575,worse
rag,RC102,d75,0.7,370.1244,530.8457,160.7214,1.4342,worse
rag,RC102,d75,0.8,370.1244,139.1931,-230.9313,0.3761,improved
rag,RC102,d75,0.9,375.1244,477.4241,102.2998,1.2727,worse
rag,RC102,d75,1.0,350.2659,139.1931,-211.0729,0.3974,improved
rag,RC103,d75,0.6,80.0821,80.0821,-0.0,1.0,tie
rag,RC103,d75,0.7,80.0821,,,,no_valid
rag,RC103,d75,0.8,80.0821,80.0821,-0.0,1.0,tie
rag,RC103,d75,0.9,80.0821,80.0821,-0.0,1.0,tie
rag,RC103,d75,1.0,80.0821,80.0821,-0.0,1.0,tie
rag,RC104,d25,0.6,495.7876,463.4872,-32.3004,0.9349,improved
rag,RC104,d25,0.7,495.7876,463.4872,-32.3004,0.9349,improved
rag,RC104,d25,0.8,495.7876,368.4124,-127.3752,0.7431,improved
rag,RC104,d25,0.9,495.7876,236.6556,-259.132,0.4773,improved
rag,RC104,d25,1.0,495.7876,354.3195,-141.4681,0.7147,improved
rag,RC104,d50,0.6,281.6688,459.6925,178.0237,1.632,worse
rag,RC104,d50,0.7,281.6688,459.6925,178.0237,1.632,worse
rag,RC104,d50,0.8,219.5867,459.6925,240.1057,2.0934,worse
rag,RC104,d50,0.9,287.6688,256.046,-31.6228,0.8901,improved
rag,RC104,d50,1.0,376.2111,459.6925,83.4814,1.2219,worse
rag,RC104,d75,0.6,119.2209,119.2209,0.0,1.0,tie
rag,RC104,d75,0.7,119.2209,,,,no_valid
rag,RC104,d75,0.8,119.2209,119.2209,0.0,1.0,tie
rag,RC104,d75,0.9,119.2209,119.2209,0.0,1.0,tie
rag,RC104,d75,1.0,119.2209,119.2209,0.0,1.0,tie
rag,RC105,d25,0.6,290.8073,1164.231,873.4237,4.0034,worse
rag,RC105,d25,0.7,396.5411,1164.231,767.6899,2.936,worse
rag,RC105,d25,0.8,377.5384,222.7213,-154.8172,0.5899,improved
rag,RC105,d25,0.9,389.7347,330.9471,-58.7876,0.8492,improved
rag,RC105,d25,1.0,459.8412,1214.7403,754.8991,2.6417,worse
rag,RC105,d50,0.6,439.1105,883.5194,444.409,2.0121,worse
rag,RC105,d50,0.7,449.3085,883.5194,434.2109,1.9664,worse
rag,RC105,d50,0.8,497.1989,318.0489,-179.15,0.6397,improved
rag,RC105,d50,0.9,476.2753,1012.756,536.4808,2.1264,worse
rag,RC105,d50,1.0,405.3924,269.6793,-135.7131,0.6652,improved
rag,RC105,d75,0.6,310.7817,527.1467,216.365,1.6962,worse
rag,RC105,d75,0.7,310.7817,527.1467,216.365,1.6962,worse
rag,RC105,d75,0.8,310.7817,,,,no_valid
rag,RC105,d75,0.9,252.7722,527.1467,274.3746,2.0855,worse
rag,RC105,d75,1.0,304.192,527.1467,222.9547,1.7329,worse
